22.1.1.3.Populationbysexandage,1January;;;;;;;;;;;;;;;;
Age;1980;1990;2001;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Males;;;;;;;;;;;;;;;;
81;12038;13754;13636;17193;16477;16693;16957;16506;16250;15750;16276;17222;17300;18607;18269;19860
82;9863;11024;6667;14870;15477;14860;15017;15267;14850;14625;14141;14728;15517;15394;16342;16555
83;7678;9234;5955;12577;13225;13755;13274;13419;13664;13171;13046;12755;13033;13666;13340;14663
84;6547;7245;5333;10480;11007;11590;12146;11651;11820;11986;11679;11649;11125;11312;11512;11807
85;4900;5959;5701;9140;9095;9499;10089;10590;10186;10297;10433;10215;10055;9547;9527;10105
86;4044;4855;6809;7812;7832;7770;8161;8667;9142;8756;8907;8975;8589;8470;7841;8225
87;2873;3830;5589;6107;6568;6631;6569;6826;7340;7763;7502;7607;7515;7125;6739;6696
88;2184;3053;4646;5414;5071;5439;5494;5443;5722;6106;6476;6295;6284;6145;5588;5631
89;1607;2366;3508;4324;4400;4155;4483;4507;4427;4649;4961;5360;5116;5014;4736;4545
90;3850;4945;9579;10848;11786;12553;13141;13616;14254;14618;15194;16011;16993;17503;13109;13590
Total;5188709;4984904;4851012;4724666;4715953;4703391;4695779;4688519;4675291;4671602;4675821;4680790;4663794;4644875;4625260;4623378
Females;;;;;;;;;;;;;;;;
0;77461;59248;47362;42605;43003;43454;45245;44616;46158;45814;45129;44832;45322;45354;43512;42344
1;80242;59323;45313;43975;42708;43844;43623;45453;44733;46284;45879;45211;45028;45505;45763;43790
2;84341;60093;46620;47064;44040;42807;43979;43750;45503;44876;46405;46023;45322;45149;45989;45866
3;87245;61006;47475;48569;47119;44097;42917;44159;43822;45581;44989;46499;46110;45456;44545;46039
4;91100;61754;50483;47496;48614;47195;44211;43051;44189;43893;45666;45092;46568;46171;45083;44556
5;87176;59318;53711;49244;47549;48659;47301;44334;43048;44248;43971;45786;45124;46619;45992;45091
6;73990;60277;54948;47291;49377;47610;48746;47394;44387;43081;44301;44009;45791;45153;46592;45920
7;71792;62984;56193;45772;47397;49428;47744;48848;47379;44416;43178;44349;44024;45838;45800;46563
8;70764;67732;58271;45680;45895;47433;49523;47877;48876;47388;44434;43260;44363;44037;45655;45963
9;71389;70483;60898;46833;45785;45944;47517;49642;47852;48903;47410;44488;43246;44398;43505;45798
10;71792;75749;61296;46936;46945;45804;46025;47573;49649;47883;48887;47498;44512;43241;43943;43711
11;72427;79138;59588;47290;46992;47003;45872;46129;47620;49690;47925;48959;47518;44525;42592;44106
12;69396;83649;60059;45798;47384;47035;47095;45954;46145;47661;49722;47961;48988;47511;44007;42754
13;64074;86842;60519;47416;45851;47411;47101;47171;45977;46193;47674;49762;47984;48985;46315;44175
14;62592;92526;63563;48783;47521;45889;47530;47193;47170;46014;46215;47757;49777;48024;47797;46490
15;62005;88620;65566;53142;48919;47597;46065;47668;47276;47257;46129;46334;47843;49840;47267;48035
16;61758;73671;63059;56409;53255;49010;47744;46205;47742;47358;47343;46204;46364;47889;48353;47445
17;59895;71506;63596;57963;56517;53390;49211;47924;46312;47887;47466;47470;46291;46500;46832;48556
18;64463;69424;65324;58923;58224;56699;53699;49484;48176;46652;48264;47874;47847;46793;46934;47562
19;67619;70231;69717;60394;59210;58447;57087;54066;49831;48674;47306;49006;48470;48596;48497;47914
20;69596;70125;73046;62741;60645;59405;58769;57332;54290;50356;49343;47882;49311;49090;50547;49114
21;72463;71098;76223;62209;62968;60788;59526;58931;57353;54661;50729;49650;47905;49824;50742;50856
22;75801;67840;79139;60136;62360;62984;60838;59444;58823;57654;54947;50885;49645;48275;51304;50983
23;86788;62483;82419;59595;60207;62272;62893;60640;59205;58992;57965;55247;50946;49870;49165;51473
24;94111;60246;85037;59441;59654;60117;62145;62626;60402;59303;59278;58192;55158;51063;50305;49290
25;98902;59577;88704;60397;59398;59460;59827;61921;62245;60420;59567;59499;58181;55149;50825;50395
26;91020;59417;84985;60703;60303;59202;59113;59545;61553;62256;60637;59744;59356;58095;53155;50811
27;81775;58552;71469;58677;60656;59986;58915;58916;59248;61596;62447;60805;59701;59356;55854;53231
28;83407;62797;71056;59686;58592;60392;59784;58766;58665;59273;61822;62668;60757;59761;57031;55894
29;84272;66276;69313;62341;59629;58402;60154;59671;58564;58796;59435;62080;62581;60756;57198;57108
30;81179;67271;71607;67401;62368;59433;58344;60061;59531;58670;58912;59717;61997;62583;58651;57365
31;80798;70354;70715;70589;67462;62333;59336;58363;59831;59681;58901;59286;59715;62072;60818;58823
32;77257;73398;71767;75396;70684;67325;62261;59370;58209;60032;59920;59257;59270;59807;60586;61026
33;68062;83911;68848;78590;75496;70578;67327;62306;59312;58346;60358;60267;59249;59366;59068;60881
34;67377;90448;63049;82511;78702;75424;70514;67320;62172;59505;58596;60732;60332;59387;59291;59311
35;76800;95517;61366;85825;82632;78708;75384;70578;67266;62346;59728;58898;60782;60564;59741;59501
36;71148;87586;60582;89735;85897;82499;78730;75415;70410;67373;62582;60046;58956;60878;61025;59927
37;73229;79201;60760;85926;89830;85860;82527;78774;75212;70505;67556;62852;60062;59146;61082;61162
38;68844;80476;59652;72685;86004;89750;85772;82595;78613;75254;70745;67824;62826;60201;59285;61185
39;71997;81462;63343;71620;72794;85969;89754;85745;82451;78629;75400;71027;67821;62979;60203;59374
40;67857;78271;67370;70594;71732;72754;85989;89731;85565;82484;78742;75612;71011;67974;62563;60284
41;68458;77948;67333;71677;70657;71701;72732;85977;89468;85606;82662;78892;75594;71070;67331;62627
42;67412;74482;70731;71886;71755;70586;71685;72741;85778;89406;85769;82783;78805;75580;70020;67317
43;67006;65528;73350;72747;71950;71680;70559;71655;72587;85706;89543;85913;82758;78840;74953;70045
44;67868;65003;83907;69691;72728;71876;71639;70565;71491;72448;85814;89694;85849;82745;78364;74940
45;68624;73840;89647;63454;69672;72541;71853;71602;70370;71470;72496;85870;89595;85837;82589;78215
46;69812;68247;93791;61272;63412;69549;72479;71788;71397;70284;71514;72585;85766;89483;85353;82492
47;71141;70402;86022;60585;61234;63218;69384;72324;71597;71316;70252;71512;72460;85684;89283;85179
48;70163;65847;77840;60190;60491;61082;63069;69241;72103;71478;71324;70313;71389;72342;85473;89077
49;74527;68474;78726;58824;60078;60335;60896;62919;69029;71921;71493;71264;70142;71318;72159;85278
50;71610;64472;80254;62826;58680;59856;60191;60703;62691;68836;71848;71423;71100;70030;70684;71973
51;72885;65048;76306;65752;62673;58478;59692;59954;60459;62539;68771;71796;71247;70942;69625;70495
52;70011;63629;75372;66673;65541;62391;58285;59447;59733;60295;62444;68694;71627;70993;70226;69309
53;73706;63196;72044;69387;66399;65231;62090;58071;59190;59520;60224;62253;68508;71401;70589;69963
54;75624;63774;63473;71788;69149;66050;64932;61819;57775;58959;59363;60048;62031;68295;70776;70325
55;69136;64008;62968;81287;71441;68829;65717;64599;61566;57457;58849;59156;59833;61764;67640;70431
56;73265;64894;71178;87188;80824;70967;68438;65380;64269;61212;57261;58598;58939;59556;61287;67311
