"12dm -- Live births by sex, birth order and age of mother (1-year), 1990-2023"

"Year","Age of mother","Total Total Live births"
"2019","21",783
"2019","22",977
"2019","23",1341
"2019","24",1590
"2019","25",1944
"2019","26",2338
"2019","27",2621
"2019","28",2936
"2019","29",3210
"2019","30",3323
"2019","31",3373
"2019","32",3108
"2019","33",2912
"2019","34",2842
"2019","35",2606
"2019","36",2298
"2019","37",1702
"2019","38",1317
"2019","39",1064
"2019","40",798
"2019","41",555
"2019","42",343
"2019","43",211
"2019","44",146
"2020","15",9
"2020","16",28
"2020","17",59
"2020","18",162
"2020","19",302
"2020","20",537
"2020","21",700
"2020","22",981
"2020","23",1201
"2020","24",1481
"2020","25",1971
"2020","26",2271
"2020","27",2708
"2020","28",2987
"2020","29",3290
"2020","30",3522
"2020","31",3566
"2020","32",3348
"2020","33",2982
"2020","34",2790
"2020","35",2589
"2020","36",2259
"2020","37",1881
"2020","38",1422
"2020","39",1151
"2020","40",845
"2020","41",560
"2020","42",344
"2020","43",232
"2020","44",135
"2021","15",4
"2021","16",27
"2021","17",78
"2021","18",152
"2021","19",282
"2021","20",486
"2021","21",664
"2021","22",879
"2021","23",1109
"2021","24",1435
"2021","25",1888
"2021","26",2279
"2021","27",2711
"2021","28",3241
"2021","29",3565
"2021","30",3789
"2021","31",3966
"2021","32",3735
"2021","33",3390
"2021","34",3076
"2021","35",2781
"2021","36",2430
"2021","37",1999
"2021","38",1722
"2021","39",1239
"2021","40",1007
"2021","41",678
"2021","42",401
"2021","43",267
"2021","44",147
"2022","15",5
"2022","16",15
"2022","17",68
"2022","18",134
"2022","19",265
"2022","20",468
"2022","21",640
"2022","22",810
"2022","23",1000
"2022","24",1256
"2022","25",1592
"2022","26",1997
"2022","27",2462
"2022","28",2765
"2022","29",3295
"2022","30",3368
"2022","31",3572
"2022","32",3350
"2022","33",3150
"2022","34",2821
"2022","35",2541
"2022","36",2182
"2022","37",1863
"2022","38",1547
"2022","39",1207
"2022","40",948
"2022","41",649
"2022","42",391
"2022","43",233
"2022","44",170
"2023","15",5
"2023","16",15
"2023","17",54
"2023","18",114
"2023","19",284
"2023","20",435
"2023","21",652
"2023","22",730
"2023","23",982
"2023","24",1184
"2023","25",1515
"2023","26",1837
"2023","27",2232
"2023","28",2635
"2023","29",2951
"2023","30",3286
"2023","31",3430
"2023","32",3385
"2023","33",3150
